Airline;Operator;Livery_ID;Livery_Name;Livery_Type;Parent_Livery_ID;Start_Year;End_Year;Aircraft_Type;Example_Reg;Notes;Source_URL;Photo_URL
Austrian Airlines;Austrian Airlines;AUA-1958-ORIGINAL;Early Silver Line;Standard;;1958;1962;DC-3|Vickers Viscount;OE-LAC;Erste Nachkriegsbemalung mit blankmetallischem Rumpf und schmalem roten Zierstreifen auf Fensterhöhe sowie kleinem roten Pfeil an der Nase. Leitwerk weiß mit rotem Band oben und frühes provisorisches Branding vor Einführung der rot-weiß-roten 1960er-Livery.;;
Austrian Airlines;Austrian Airlines;AUA-1959-CHEATLINE;Early Cheatline;Standard;;1959;1963;Vickers Viscount|DC-3;OE-LAK;Übergangsdesign mit durchgehender rot-weiß-roter Cheatline von der schwarzen Bugspitze bis zum Heck und kleinem roten Pfeil auf der Nase. Polierter Metallrumpf unterhalb der Fensterlinie und Leitwerk in rot-weiß-roten Streifen. Diente als direkter Vorläufer der 1960er-Classic-Livery.;;https://www.planespotters.net/photo/764544/oe-lba-austrian-airlines-boeing-707-329
Austrian Airlines;Austrian Airlines;AUA-1960-CLASSIC;Classic / Red-White-Red;Standard;;1960;1988;Caravelle|DC-9|MD-80|A310;OE-LCE;Frühe Farbgebung mit rot-weiß-roter Cheatline und silbernem Unterrumpf. Teilweise kleiner roter Pfeil an der Nase (nicht bei allen Mustern ausgeführt, z. B. Caravelle). Typisches 1960er-Jahre-Layout mit rotem Leitwerk und weißem Mittelband.;;https://www.planespotters.net/photo/768976/oe-lca-austrian-airlines-sud-aviation-se-210-caravelle-vi-r
Austrian Airlines;Austrian Airlines;AUA-1972-CHEVRONEARLY;Chevron Early;Standard;;1972;1980;Caravelle|DC-9;OE-LCD;Übergangsdesign zwischen der klassischen 1960er-Bemalung und der 1980er-Pfeil-Livery. Erstmals Chevron-ähnlicher roter Keil am Leitwerk, weiterhin silberner Bauch und rote Cheatline unterhalb der Fensterlinie. Klassischer Serifenschriftzug „Austrian Airlines“. Repräsentiert den Beginn der moderneren Farbgebung vor der Einführung des Red-Arrow-Designs.;;https://en.wikipedia.org/wiki/Austrian_Airlines
Austrian Airlines;Austrian Airlines;AUA-1980-REDARROW;Red Arrow;Standard;;1980;1988;DC-9|MD-80|A310;OE-LDA;Corporate Design der 1980er-Jahre: weißer Rumpf mit großem roten, nach vorne zeigenden Pfeil auf Höhe der Fensterreihe und „AUSTRIAN“ in Großbuchstaben davor. Rot-weiß-rotes Leitwerk ohne Chevron, Unterrumpf metallisch-silbern. Markantes Erscheinungsbild der späten 70er- und frühen 80er-Jahre vor Einführung des Chevron-Tails 1988.;https://www.planespotters.net/photo/415265/oe-lda-austrian-airlines-mcdonnell-douglas-dc-9-32;https://www.planespotters.net/photo/415265/oe-lda-austrian-airlines-mcdonnell-douglas-dc-9-32
Austrian Airlines;Austrian Airlines;AUA-1988-CHEVRON;Chevron / Skyline;Standard;AUA-1972-CHEVRONEARLY;1988;2003;A310|A320|F70|F100|MD-80|B767;OE-LAC;Rebranding ab Ende der 1980er-Jahre mit großem „Austrian“-Titel über der Fensterreihe, hellgrauem Unterrumpf und charakteristischem roten Pfeil auf Fensterhöhe. Leitwerk im rot-weiß-roten Streifendesign ohne Chevron. Erstes modernes Corporate-Design der Nachkriegszeit und Grundlage für spätere Varianten.;https://en.wikipedia.org/wiki/Austrian_Airlines;https://www.planespotters.net/photo/1115899/oe-lac-austrian-airlines-airbus-a310-324
Austrian Airlines;Austrian Airlines;AUA-1995-ARROWSTRIPE;Arrow Stripe / Flag Tail;Standard;AUA-1988-CHEVRON;1995;2003;A320|A321|A310|MD-80|B767|B777;OE-LAA;Corporate-Design 1995 mit großem „AUSTRIAN AIRLINES“-Schriftzug oberhalb der Fenster, rotem Arrow davor und blau-grün verlaufender Linie unterhalb der Fenster. Weißer Unterrumpf, Leitwerk rot-weiß-rot mit rotem Arrow im weißen Feld. Symbolisierte die dynamische Modernisierung der AUA in den 1990er-Jahren.;https://de.wikipedia.org/wiki/Austrian_Airlines#Corporate_Design;https://www.planespotters.net/photo/015371/oe-lag-austrian-airlines-airbus-a340-211
Austrian Airlines;Austrian Airlines;AUA-2003-BLUEBELLY;Blue Belly / Red Arrow;Standard;;2003;2015;A320|A321|B737|B767|B777;OE-LBU;Corporate-Design 2003 mit hellblauem Unterrumpf und blau lackierten Triebwerken. Modernisierter Schriftzug und klarer Red-Arrow-Look, später durch weiß-rotes Design 2015 ersetzt.;https://thedesignair.net/2015/03/30/austrian-airlines-launches-new-livery-and-new-brand-direction/;https://www.jetphotos.com/photo/8846235/oe-lbu-austrian-airlines-boeing-767-3z9er
Austrian Airlines;Austrian Airlines;AUA-2015-MYAUA;myAustrian;Standard;;2015;2018;A321|A320|E195|B767|B777;OE-LBC;Markenrefresh 2015 mit „myAustrian“-Schriftzug, Entfernung des blauen Unterrumpfs und rote Triebwerke mit „austrian.com“-Logo. Weiß-rotes Erscheinungsbild mit modernisiertem Branding, Übergangsdesign vor dem 2018er-Corporate-Refresh.;;
Austrian Airlines;Austrian Airlines;AUA-2018-NEW;New Austrian;Standard;;2018;–;A321|A320|A320neo|E195|B767|B777;OE-LAW;Brand-Refresh 2018 ohne my. Großer Austrian Titel beginnend auf Fensterreihe weit vorne, rotes Heck mit erweiterten roten Flächen am Hinterrumpf. Roter Pfeil nur noch im weißen Tailband. Triebwerke weiß oder hellgrau.;https://thedesignair.net/2015/03/30/austrian-airlines-launches-new-livery-and-new-brand-direction;https://www.jetphotos.com/photo/10159741
Austrian Airlines;Austrian Airlines;AUA-1996-1000YEARS;1000 Jahre Österreich;Special;AUA-1995-ARROWSTRIPE;1996;1997;A321;OE-LBB;Jubiläums Sonderbemalung 1000 Jahre Österreich auf Basis des Arrowstripe Designs goldene Schriftzüge und zusätzliche Grafiken am Heck trug ausschließlich OE LBB;;https://www.planespotters.net/photo/355580/oe-lbb-austrian-airlines-airbus-a321-111
Austrian Airlines;Austrian Airlines;AUA-1997-QUALIFLYER;Qualiflyer Alliance;Special;AUA-1995-ARROWSTRIPE;1997;2000;A320|A321;OE-LBO;Sonderlackierung zur Qualiflyer Group zusätzlicher blauer Qualiflyer Schriftzug und Logo am Heck auf Basis Arrowstripe;;https://berlin-spotter.de/focus/aua320qualiflyer.jpg
Austrian Airlines;Austrian Airlines;AUA-1999-STRAUSS;Johann Strauss;Special;AUA-1995-ARROWSTRIPE;1999;2002;A321;OE-LBB;Sonderbemalung mit Schriftzug Johann Strauss und Abbildung der goldenen Strauss Statue auf der Heckflosse basierend auf Arrowstripe;;https://www.planespotters.net/photo/255885/oe-lbb-austrian-airlines-airbus-a321-111
Austrian Airlines;Austrian Airlines;AUA-2003-STARALLIANCE;Star Alliance;Special;AUA-2003-BLUEBELLY;2003;2015;A320|A321|B737|B767|B777;OE-LNT;Star-Alliance-Design in der Bluebelly-Ära. Weißer Rumpf und schwarzes Leitwerk, hellblaue Triebwerke mit austrian.com, rote Winglets. Blaues Belly wurde aus Neutralitätsgründen nicht übernommen.;https://www.staralliance.com/en/member-airline/austrian;https://www.planespotters.net/photo/245246/oe-lnt-austrian-airlines-boeing-737-8z9wl
Austrian Airlines;Austrian Airlines / Austrian Arrows Tyrolean;AUA-2003-STARALLIANCE-LOGOSTRIP;Star Alliance Member Logos;Special;AUA-2003-STARALLIANCE;2003;2010;A320|A330|F70;OE-LBR;Star-Alliance-Sondervariante mit Logo-Kachelstreifen der Allianzpartner oberhalb der Fensterreihe. Weißer Rumpf und schwarzes Leitwerk mit Star-Alliance-Logo. In der Bluebelly-Ära teils mit hellblauen Triebwerken bei Narrowbodies. Nachweisbar auf A320 OE-LBR und A330 OE-LAO sowie F70 OE-LFG.;;
Austrian Airlines;Austrian Airlines;AUA-2015-STARALLIANCE;Star Alliance;Special;AUA-2015-MYAUA;2015;2018;A320|A321|B767|B777;OE-LPF;Star-Alliance-Design im myAustrian-Schriftbild. Weißer Rumpf, schwarzer STAR ALLIANCE Titel, Allianzlogo am Leitwerk, rote Austrian-Akzente der Epoche.;;
Austrian Airlines;Austrian Airlines;AUA-2018-STARALLIANCE;Star Alliance;Special;AUA-2018-NEW;2018;–;A320|A321|B777;OE-LPF;Star-Alliance-Design im 2018er Corporate-Refresh. Neutrale Allianzlackierung mit Elementen der aktuellen Austrian-Typografie.;;
Austrian Airlines;Austrian Airlines;AUA-2003-MOZART;Mozart;Special;AUA-2003-BLUEBELLY;2003;2006;A320;OE-LBP;Sonderlackierung Austrian Mozart Year mit Porträt und goldfarbenen Ornamenten anlässlich Mozart Jubiläum;;
Austrian Airlines;Austrian Airlines;AUA-2006-PHILHARMONIKER;Wiener Philharmoniker;Special;AUA-2003-BLUEBELLY;2006;2007;A340;OE-LAL;Sonderbemalung mit goldener Instrumenten Grafik und Schriftzug Wiener Philharmoniker auf blauem Unterrumpf und weißem Oberrumpf Triebwerke weiterhin blau lackiert;;https://www.planespotters.net/photo/036860/oe-lal-austrian-airlines-airbus-a340-313
Austrian Airlines;Austrian Airlines;AUA-2006-EUROVISION;Eurovision Song Contest Vienna;Abwandlung;AUA-2003-BLUEBELLY;2006;2007;A320;OE-LBS;Kurzfristiger Sticker Eurovision Song Contest Vienna 2006 unterhalb der Cockpitscheiben auf Bluebelly Basis;;
Austrian Airlines;Austrian Airlines;AUA-2008-FOOTBALL;ÖFB / UEFA Euro 2008;Special;AUA-2003-BLUEBELLY;2008;2008;F100;OE-LVK;Sonderbemalung anlässlich der UEFA Euro 2008 in Österreich und der Partnerschaft mit dem Österreichischen Fußball-Bund (ÖFB). Weiß-roter Rumpf mit großem roten Fußballsymbol und Schriftzug „ÖFB – Botschafter der Leidenschaft“. Unterrumpf in Austrian-typischem Hellblau (Bluebelly-Stil), Standardleitwerk rot-weiß-rot mit Austrian-Arrow. Eingesetzt von Austrian Arrows (Tyrolean Airways).;https://www.planespotters.net/photo/67309/oe-lvk-austrian-arrows-fokker-100-f28-mark-0100;
Austrian Airlines;Austrian Airlines;AUA-2010-HEART;Heart of Austria;Abwandlung;AUA-2003-BLUEBELLY;2010;2013;A320|A321|E195;OE-LBP;Marketing Aufschrift Heart of Austria rotes Herz am vorderen Rumpf Kampagnenbranding auf Standardlackierung;;
Austrian Airlines;Austrian Airlines;AUA-2012-FORMULA1;Formula 1 / Red Bull Ring;Abwandlung;AUA-2003-BLUEBELLY;2012;2013;A320;OE-LBO;Motorsport Promosticker zum Grand Prix von Österreich beziehungsweise Red Bull Ring platziert auf A320;;
Austrian Airlines;Austrian Airlines;AUA-2013-VPO;Vienna Philharmonic A320;Special;AUA-2003-BLUEBELLY;2013;2016;A320;OE-LBN;Kooperation mit den Wiener Philharmonikern Instrumenten Grafiken und goldene Linien auf dem Rumpf Kurz und Mittelstrecke;;
Austrian Airlines;Austrian Airlines;AUA-2014-VPO2;Vienna Philharmonic B777;Special;AUA-2003-BLUEBELLY;2014;2016;B777;OE-LPD;Langstrecken Umsetzung der Philharmoniker Ornamente erweiterte goldene Elemente großflächige Heckgestaltung;;
Austrian Airlines;Austrian Airlines;AUA-2015-RETRO;Retro Livery 1960s Style;Special;AUA-2015-MYAUA;2015;–;A320;OE-LAL;Retro Design in 60er Optik mit rotem Cheatline und klassischem Logo silberne oder graue Unterseite je nach Maschine;;
Austrian Airlines;Austrian Airlines;AUA-2015-SERVUS;Servus Austrian;Abwandlung;AUA-2015-MYAUA;2015;2018;A320|E195;OE-LBO;Sonderaufschrift Servus Austrian in myAustrian Typografie auf weiß rotem Grund häufig auf Kurzstrecken;;
Austrian Airlines;Tyrolean Airways;AUA-2015-TYROLEANHYB;Tyrolean Hybrid;Abwandlung;AUA-2015-MYAUA;2015;2017;Dash 8;OE-LGO;Übergangslackierung nach Integration der Tyrolean Austrian Titel auf Tyrolean Heck gemischte Branding Elemente;;
Austrian Airlines;Austrian Airlines;AUA-2016-REDWHITEHEART;Red White Heart Servus Österreich;Abwandlung;AUA-2015-MYAUA;2016;2018;A320|A321;OE-LBP;Herz Sticker der Österreich Werbung Servus Österreich Kampagnenbranding auf Standardlackierung;;
Austrian Airlines;Austrian Airlines;AUA-2017-60YEARS;60 Years Austrian Airlines;Abwandlung;AUA-2015-MYAUA;2017;2018;A320;OE-LPD;Jubiläums Sticker 60 Years Austrian Airlines beidseitig am Rumpf anlässlich des Firmenjubiläums;;
Austrian Airlines;Austrian Airlines;AUA-2018-NEWINTRO;First New Livery Aircraft;Abwandlung;AUA-2018-NEW;2018;–;A320;OE-LPD;Erstes Flugzeug mit dem 2018er Corporate Design offizielle Präsentation im Frühjahr 2018;;
Austrian Airlines;Austrian Airlines;AUA-2019-RETRO80S;Retro Livery 1980s Chevron;Special;AUA-2018-NEW;2019;–;A320;OE-LBO;Retro im 80er Chevron Look mit grauem Bauch und rotem Streifen Pyhrn Eisenwurzen Titel;;
Austrian Airlines;Austrian Airlines;AUA-2021-DREAMLINERINTRO;Dreamliner Teaser Sticker;Abwandlung;AUA-2018-NEW;2021;2022;B787;OE-LPD;Sticker The Dreamliner is coming soon als Teaser für die 787 Einflottung vor Übernahme der ersten 787;;
Austrian Airlines;Austrian Airlines;AUA-2023-AUS60;60 Jahre Österreich in der EU;Abwandlung;AUA-2018-NEW;2023;–;A320|A321|B777;OE-LBZ;EU Jubiläums Sticker 60 Jahre Österreich in der EU Kooperation mit öffentlichen Stellen;;
Austrian Airlines;Austrian Airlines;AUA-2025-EXPO;Expo 2025 Osaka Austria;Special;AUA-2018-NEW;2025;–;B777;OE-LBN;Offizielle EXPO 2025 Beklebung Austria at Osaka Austrian als Botschafter Österreichs;;
Austrian Airlines;Austrian Airlines;AUA-2025-STRAUSS;Johann Strauss 200;Abwandlung;AUA-2018-NEW;2025;–;B777;OE-LPF;Sticker zum 200 Geburtstag von Johann Strauss Sohn auf OE LPF ersetzte eine frühere Jubiläumsmarkierung;;
Austrian Airlines;Austrian Air Services;AUA-1980-AAS1;Austrian Air Services Classic;Standard;;1980;1990;Dash 7;OE-LAB;Frühe AAS Bemalung weiß rot blau mit kleiner Austrian Beschriftung am Leitwerk Inlandszubringer der AUA;;
Austrian Airlines;Austrian Air Services;AUA-1990-AAS2;Austrian Air Services Late;Standard;;1990;1993;Dash 7;OE-LAC;Spätere AAS Variante mit größerem Austrian Titel und vereinfachtem Leitwerk kurz vor Einstellung der Marke;;
Austrian Airlines;Rheintalflug;AUA-1995-RHEINTAL;Rheintalflug;Standard;;1995;2001;Dash 8;OE-LRD;Rheintalflug Design in Weiß und Blau nach Übernahme Ergänzung um roten Austrian Titel Regionalnetz Westösterreich;;
Austrian Airlines;Austrian Arrows Tyrolean;AUA-1998-ARROWS;Austrian Arrows;Standard;;1998;2003;Dash 8|F70|CRJ200;OE-LGF;Marke Austrian Arrows operated by Tyrolean weiß rot mit hellblauem Streifen Regionalflotte;;
Austrian Airlines;Austrian Holidays;AUA-2004-HOLIDAYS1;Austrian Holidays Blue;Standard;;2004;2010;A320;OE-LBX;Chartermarke Austrian Holidays blauer Titel und Sonnensymbol Einsatz auf Urlaubsrouten;;
Austrian Airlines;Austrian Holidays;AUA-2010-HOLIDAYS2;Austrian Holidays Red Arrow;Standard;;2010;2015;A320|E195;OE-LBX;Weiterentwicklung der Charter Livery mit Anmutung der Red Arrow Ära angepasster Holidays Schriftzug;;
Austrian Airlines;Austrian Regional Tyrolean;AUA-2012-REGIONAL;Austrian Regional Tyrolean;Standard;;2012;2015;Dash 8|F70|F100;OE-LGO;Übergangsphase operated by Tyrolean Branding der Regionalflotte bis zur Vollintegration in AUA;;
Austrian Airlines;Austrian Holidays;AUA-2016-MYHOLIDAYS;myAustrian Holidays;Abwandlung;AUA-2015-MYAUA;2016;2018;A320|E195;OE-LBX;myAustrian Holidays Titel im myAustrian Design Einsatz auf touristischen Routen Ergänzung zum Hauptbranding;;
Lauda Air;Lauda Air;LDA-1990-CLASSIC;Lauda Air Red Ribbon Classic;Standard;;1990;2000;B737|B767;OE-LAX;Ikonische Lauda-„Red Ribbon“-Livery mit hellgrauem oberen Rumpf, rotem diagonalem Band am Heck und silber-metallischer Unterseite. Der Cockpitbereich ist im gleichen Hellgrau gehalten wie der obere Rumpf. Großes rotes „Lauda“-Logo ohne Kontur und goldene geflügelte Figur („Golden Bird“) auf dem Rumpf. Markantes, elegantes Erscheinungsbild der 1990er-Jahre – internationales Flaggschiff-Design der Lauda Air.;https://www.planespotters.net/photo/1012256/oe-lpa-lauda-air-boeing-777-2z9er;
Lauda Air;Lauda Air;LDA-2000-TRANSITION;Lauda Transition;Variant;LDA-1990-CLASSIC;2000;2005;B737|B767;OE-LAX;Vereinfachte späte Lauda-Air-Lackierung nach 2000 – hellgrau-weißer Rumpf ohne Goldfigur, rotes Leitwerk mit modernisiertem Lauda-Schriftzug. Diente als Zwischenstufe vor Integration in Austrian Airlines. Auf Boeing 737 und 767 eingesetzt.;https://www.airliners.net/photo/Lauda-Air/Boeing-767-3Z9-ER/1237919;
Lauda Air;Lauda Air;LDA-2003-AUSTRIANWAY;The Austrian way to holidays;Variant;LDA-2000-TRANSITION;2003;2006;B737-700/800|B767-300ER;OE-LNO;Letzte Entwicklungsstufe des Lauda-Designs vor Integration in Austrian Airlines. Silber-grauer Rumpf mit roter Cheatline, rotem Lauda-Schriftzug und kleinem Slogan „The Austrian way to holidays“. Golden Bird auf dem Leitwerk beibehalten. Kombination aus Lauda-Farben und Austrian-Branding – Symbol für den Markenübergang.;https://www.planespotters.net/photo/312348/oe-lno-lauda-air-boeing-737-76q;
Lauda Air;Lauda Air;LDA-2004-TIROL;Tirol Special;Special;LDA-1990-CLASSIC;2004;2008;B737-600;OE-LNM;Sonderbemalung „Tirol – Herz der Alpen“ auf Basis der Lauda-Air-Standardlackierung der 1990er-Jahre. Großflächiges Alpenpanorama mit Tirol-Wappen und Schriftzug „Tirol“ entlang des Rumpfs. Rotes Leitwerk mit goldener Taube und Schriftzug „Sound of Music“. Kooperation mit dem Land Tirol.;https://www.planespotters.net/photo/1142071/oe-lnm-lauda-air-boeing-737-6z9;
Lufthansa;Lufthansa;DLH-1955-YELLOWBAND;Yellow Band / Classic Kranich;Standard;;1955;1968;L1049|B707|B720|DC-8;D-ABOC;Erstes Nachkriegs Corporate Design hellmetallischer Rumpf mit gelbem Band und blauem Leitwerk stilisierter Kranich im gelben Kreis;;
Lufthansa;Lufthansa;DLH-1968-BLUECRANE;Blue Crane Senator Livery;Standard;;1968;1988;B707|B727|B737|DC-10;D-ABEB;Neues Corporate Design mit tiefblauem Leitwerk weißem Rumpf und gelbem Kranichkreis entworfen von Otl Aicher;;
Lufthansa;Lufthansa;DLH-1988-MODERNBLUE;Modern Blue;Standard;;1988;2003;A310|A320|A321|A340|B737|B747;D-AIBA;Reinweißes Rumpfdesign mit dunkelblauem Leitwerk klarer typografischer LUFTHANSA Schriftzug Beginn der minimalistischen Ära;;
Lufthansa;Lufthansa;DLH-2003-GRAYBELLY;Gray Belly;Standard;;2003;2018;A320|A330|A340|B747;D-AIHQ;Überarbeitete Variante mit grauer Unterseite und modernisierter Typografie vereinheitlicht innerhalb der Group bis 2018;;
Lufthansa;Lufthansa;DLH-2018-NEWBLUE;Deep Blue Crane;Standard;;2018;–;A320|A321neo|A330|A340|A350|B747|B787;D-AIXK;Markenrefresh 2018 tiefblauer Kranich Hintergrund Wegfall des gelben Kreises größerer Titel modernisiertes Premiumdesign;;
Lufthansa;Lufthansa;DLH-1990-STARALLIANCE;Star Alliance;Special;DLH-1988-MODERNBLUE;1997;–;A321|A330|A340|A350|B747;D-AISE;Standard Design der Star Alliance weißer Rumpf schwarzer Titel Allianzlogo am Leitwerk auf mehreren Maschinen seit 1997;;
