Airline;Operator;Livery_ID;Livery_Name;Livery_Type;Parent_Livery_ID;Start_Year;End_Year;Aircraft_Type;Example_Reg;Notes;Source_URL;Photo_URL
Lufthansa;Lufthansa;DLH-2010-FANHANSA;Fanhansa;Special;DLH-2003-GRAYBELLY;2014;2018;A321|A330|A340|B747;D-ABYA;Sonderaufschrift Fanhansa anlässlich Fußball Turnieren Varianten 2014 2016 2018 meist auf Langstreckenjets;;
Lufthansa;Lufthansa;DLH-2014-SIEGERFLIEGER;Siegerflieger Fanhansa;Abwandlung;DLH-2010-FANHANSA;2014;2018;B747;D-ABYA;WM 2014 Sonderlackierung Siegerflieger Fanhansa goldene Titel und Pokalmotiv auf dem Rumpf Symbol des WM Sieges;;
Lufthansa;Lufthansa;DLH-2015-RUNWILD;Run Wild Help Alliance;Special;DLH-2003-GRAYBELLY;2015;2017;A321;D-AIDV;Charity Sonderlackierung Run Wild zugunsten der Help Alliance mit Tiermotiven am Heck und Kampagnenhinweisen;;
Lufthansa;Lufthansa;DLH-2015-FANHANSAWOMEN;Fanhansa Women s World Cup;Abwandlung;DLH-2010-FANHANSA;2015;2015;A321;D-AIDL;Kurzzeitige Variante des Fanhansa Designs mit Women s World Cup 2015 Sticker auf Mittelstrecke;;
Lufthansa;Lufthansa;DLH-2016-RETROJET;RetroJet 60 Years Lufthansa;Special;DLH-2003-GRAYBELLY;2016;2018;B737;D-ABYT;Retro Livery anlässlich des 60 jährigen Bestehens klassisches 1950er Layout mit gelbem Band und altem Schriftzug;;
Lufthansa;Lufthansa;DLH-2017-HOCKEY;Fanhansa Team D Olympia;Abwandlung;DLH-2003-GRAYBELLY;2017;2018;A321;D-AISO;Olympia Sticker Team D mit schwarz rot goldenem Leitwerksdesign zeitlich begrenzte Kampagne;;
Lufthansa;Lufthansa;DLH-2018-CRANETAILTRIAL;Test Livery 2018;Abwandlung;DLH-2018-NEWBLUE;2018;2018;A321|B747;D-ABYA;Prototypische Testversionen des neuen Blaus leichte Unterschiede in Farbton und Logo vor offizieller Einführung;;
Lufthansa;Lufthansa;DLH-2020-LHLOVE;LoveLH;Abwandlung;DLH-2018-NEWBLUE;2020;2021;A320;D-AINZ;Sonderlackierung mit Herzsymbol und Hashtag LoveLH Zeichen für Kundenbindung während der Pandemie;;
Lufthansa;Lufthansa;DLH-2021-FANHANSAEURO;Fanhansa UEFA Euro 2021;Abwandlung;DLH-2010-FANHANSA;2021;2021;A321neo;D-AIEE;Europameisterschaft 2021 Sonderbeklebung mit Fanhansa Logo und Spielernamen im Stil der neuen CI;;
Lufthansa;Lufthansa;DLH-2022-A350BLUE;A350 Five Starhansa;Abwandlung;DLH-2018-NEWBLUE;2022;–;A350;D-AIXQ;Beklebung Five Starhansa als Hinweis auf Skytrax 5 Star Auszeichnung goldene Titel auf Rumpf und Türen;;
Lufthansa;Lufthansa;DLH-2023-CLIMATEPROTECTOR;CleanTech Climate Protector;Abwandlung;DLH-2018-NEWBLUE;2023;–;A320neo;D-AINE;Nachhaltigkeitskampagne mit Climate Protector Sticker Signal für Umweltschutzinitiative innerhalb der Group;;
Lufthansa;Lufthansa;DLH-2024-RHEINGOLD;Rheingold Heritage;Special;DLH-2018-NEWBLUE;2024;–;A321neo;D-AIDH;Sonderlackierung inspiriert von historischen Lufthansa Rheingold Farbschemata und 1960er Design Elementen;;
Lufthansa;Lufthansa;DLH-2025-RETRO1955;70 Years Classic Retro;Special;DLH-2018-NEWBLUE;2025;–;A320neo;D-AINW;Geplante Retro Lackierung 2025 zum 70 jährigen Jubiläum Rückkehr von gelbem Band und klassischer Typografie;;
Swissair;Swissair;SWR-1931-SILVERRED;Swissair Early Silver Red;Standard;;1931;1950;DC-2|Lockheed L-14|DC-3;HB-IRI;Erstes Swissair Design blankmetallischer Rumpf mit rotem Seitenleitwerk und weißem Kreuz klassische 1930er Optik;;
Swissair;Swissair;SWR-1950-CLASSICRED;Swissair Red Stripe;Standard;;1950;1978;DC-6|DC-8|CV-440|DC-9;HB-IDA;Markantes Nachkriegs Design mit rotem Cheatline Band und weißem Kreuz am Leitwerk prägt 50er und 60er Jahre;;
Swissair;Swissair;SWR-1978-REDTAIL;Swissair Red Tail;Standard;;1978;1995;DC-10|MD-80|A310|A320|A330|MD-11;HB-IHL;Modernes Corporate Design ab 1978 großes rotes Leitwerk mit weißem Kreuz eleganter Swissair Schriftzug bekanntes Bild der 80er und 90er;;
Swissair;Swissair;SWR-1995-GLOBE;Swissair Globe Livery;Standard;;1995;2002;A321|A330|MD-11|B747SP;HB-IWA;Überarbeitetes 90er Jahre Design kleinerer Swissair Titel dunkleres Rot stilisierte Weltkugel am Rumpfheck letzte Livery vor dem Grounding;;
Swissair;Swiss International Air Lines;SWR-2002-REDTAIL;Swiss Initial Post Swissair;Standard;;2002;2011;A320|A321|A330|A340|RJ85|RJ100;HB-IWA;Erstes Corporate Design der neuen Swiss nach Swissair Insolvenz weißer Rumpf rotes Heck mit Kreuz kleiner Swiss Titel;;
Swissair;Swiss International Air Lines;SWR-2011-NEWDESIGN;Swiss Clean Red;Standard;;2011;–;A220|A320neo|A330|A340|B777;HB-JCA;Rebranding 2011 vergrößertes Heckkreuz stärkerer Weißanteil reduzierter Titel klassisch puristisches Design;;
Swissair;Swiss International Air Lines;SWR-2006-STARALLIANCE;Star Alliance;Special;SWR-2002-REDTAIL;2006;–;A320|A321|A330|A340|B777;HB-IJM;Star Alliance Livery mit weißem Rumpf schwarzem Titel und Allianzlogo am Leitwerk mehrere Swiss Flugzeuge seit 2006;;
Swissair;Swiss International Air Lines;SWR-2016-CS100INTRO;C Series A220 Launch;Abwandlung;SWR-2011-NEWDESIGN;2016;2018;A220;HB-JBA;Sonderbeklebung C Series Launch Operator bei Indienststellung der ersten Bombardier C Series mit Schriftzug und Speziallogo;;
Swissair;Swiss International Air Lines;SWR-2018-SWISSLANDSCAPE;Swiss Alps Landscape;Special;SWR-2011-NEWDESIGN;2018;2020;A320;HB-IJO;Sonderlackierung mit Schweizer Landschaften und Städtenamen touristische Kampagne Swiss Landscapes in Kooperation mit Schweiz Tourismus;;
Swissair;Swiss International Air Lines;SWR-2018-SCHWEIZERKREUZ;Schweizer Kreuz Special;Abwandlung;SWR-2011-NEWDESIGN;2018;2019;A321;HB-IOC;Variante mit verstärktem rotem Leitwerk und großem Kreuz Übergangsphase während Lackierungsmodernisierung;;
Swissair;Swiss International Air Lines;SWR-2021-OPF;Opfikon Community Sticker;Abwandlung;SWR-2011-NEWDESIGN;2021;2022;A321neo;HB-JPA;Kleine Orts Sticker FlyingSwiss und Opfikon symbolische Ortsbindung an den Firmensitz;;
Swissair;Swiss International Air Lines;SWR-2022-PEOPLENOTPLANE;People Not Planes;Abwandlung;SWR-2011-NEWDESIGN;2022;2023;A220|A320neo;HB-JCL;CSR Kampagne People Not Planes mit Herzsymbol und Text am Rumpf Fokus auf Crew Kultur und Nachhaltigkeit;;
Swissair;Swiss International Air Lines;SWR-2023-CLIMATEPROTECTOR;CleanTech Climate Protector;Abwandlung;SWR-2011-NEWDESIGN;2023;–;A320neo;HB-JDA;Nachhaltigkeitskampagne der Group Sonderlogo CleanTech beziehungsweise Climate Protector auf Neoflotte;;
Swissair;Swiss International Air Lines;SWR-2024-HELVETIA;Helvetia Retro;Special;SWR-2011-NEWDESIGN;2024;–;A321neo;HB-JPF;Retrodesign inspiriert von 1960er Swissair Helvetia silberner Unterrumpf klassischer Schriftzug nostalgische Anmutung;;
SAS Scandinavian Airlines;SAS Scandinavian Airlines;SAS-1946-SILVER;Classic Silver Viking;Standard;;1946;1958;DC-3|DC-4|DC-6|DC-7;LN-IAD;Erste SAS Lackierung blankmetallischer Rumpf blaue Cheatline und skandinavische Flagge am Leitwerk Viking Schriftzug unter Cockpitfenster;;
SAS Scandinavian Airlines;SAS Scandinavian Airlines;SAS-1958-VIKINGBLUE;Viking Blue Cheatline;Standard;;1958;1967;DC-7|Caravelle|DC-8;SE-DBA;Neue Caravelle Ära hellmetallischer Rumpf mit blauem Band SAS Titel in Großbuchstaben Dreiflags Logo am Leitwerk;;
SAS Scandinavian Airlines;SAS Scandinavian Airlines;SAS-1967-NORDICWHITE;Nordic White and Blue;Standard;;1967;1983;DC-8|DC-9|B747|DC-10;LN-RKA;Weißer Rumpf mit blauem Fensterband vergrößerte Dreiflagsmarke goldener Schriftzug Beginn des Jetzeitalters für SAS;;
SAS Scandinavian Airlines;SAS Scandinavian Airlines;SAS-1983-METALSTRIPE;Silver Stripe;Standard;;1983;1998;DC-9|MD-80|B767|B737|MD-90;LN-RMF;Metallischer Unterrumpf mit schmalem blauen Fensterband und roten Triebwerken markantes Design der 80er und 90er Jahre;;
SAS Scandinavian Airlines;SAS Scandinavian Airlines;SAS-1998-SCANBLUE;Scandinavian Blue Tail;Standard;;1998;2019;A320|A321|A330|A340|B737|CRJ900;LN-RKU;Neues Corporate Design weißer Rumpf kräftig blaues Leitwerk mit SAS Logo rote Triebwerke über 20 Jahre Markenbild;;
SAS Scandinavian Airlines;SAS Scandinavian Airlines;SAS-2019-NEWDESIGN;Future Silver Clean SAS;Standard;;2019;–;A320neo|A321LR|A330|A350;SE-ROJ;Aktuelles Design hellgrauer Rumpf mit silbernem SAS Logo überarbeitetes Leitwerk reduziertes Blau graue Triebwerke Symbol für Neuanfang;;
SAS Scandinavian Airlines;SAS Scandinavian Airlines;SAS-1997-STARALLIANCE;Star Alliance;Special;SAS-1983-METALSTRIPE;1997;–;A320|A321|A330|A350|CRJ900;LN-RKO;Standard Star Alliance Bemalung weißer Rumpf schwarzer Titel Allianzlogo am Leitwerk mehrere SAS Maschinen seit 1997;;
SAS Scandinavian Airlines;SAS Scandinavian Airlines;SAS-2010-RETRO;Retro Viking Heritage;Special;SAS-1998-SCANBLUE;2010;2011;A319;LN-RKM;Retro Livery zur Feier 60 Years of SAS Intercontinental silberner Rumpf klassische Cheatline und 1950er SAS Logo;;
SAS Scandinavian Airlines;SAS Scandinavian Airlines;SAS-2015-SCANFLAG;Scandinavian Flag Sticker;Abwandlung;SAS-1998-SCANBLUE;2015;2017;A320|A330;LN-RGL;Kleine Länderflaggen Sticker und Scandinavian Spirit Slogan zur Betonung der Dreinationen Identität;;
SAS Scandinavian Airlines;SAS Scandinavian Airlines;SAS-2020-NEWLOGO;75 Years SAS Logo;Abwandlung;SAS-2019-NEWDESIGN;2020;2021;A320neo;SE-ROG;Kleine Jubiläumsaufschrift 75 Years SAS 1946 2021 auf neuen Neo Jets Teil der Markenfeier;;
SAS Scandinavian Airlines;SAS Scandinavian Airlines;SAS-2022-SCANAIRRETRO;Scanair Heritage;Special;SAS-2019-NEWDESIGN;2022;2023;A321LR;SE-DMO;Retro Beklebung in Erinnerung an Charter Tochter Scanair hellblauer Cheatline Streifen und Retro Schriftzug;;
SAS Scandinavian Airlines;SAS Scandinavian Airlines;SAS-2024-FUTUREGREEN;SAS Future Green Fleet;Abwandlung;SAS-2019-NEWDESIGN;2024;–;A320neo|A350;SE-RSI;Nachhaltigkeitskampagne Future Green Fleet mit grünem Blattlogo und Fly Responsibly Botschaft;;
Widerøe;Widerøe;WIF-1950-GREENBAND;Classic Green Band;Standard;;1950;1984;DH-104|F27|DHC-6|Dash 7;LN-LAB;Frühes Widerøe Design weißer Rumpf grünes Cheatline Band und stilisiertes W am Leitwerk Symbol der norwegischen Regionalära;;
Widerøe;Widerøe;WIF-1984-MODERNSTRIPE;Modern Stripe;Standard;;1984;2000;Dash 7|Dash 8;LN-WID;Neue Corporate Identity der 80er mit grünem Wellenband entlang der Fenster und modernisiertem Logo konsequenter Markenauftritt in Norwegen;;
Widerøe;Widerøe;WIF-2000-NATURGREEN;Nature Green;Standard;;2000;2018;Dash 8;LN-WIF;Bekanntes Nature Green Design Verlauf in Grün und Silbertönen betonte Umweltverbundenheit prägte das moderne Bild Widerøes fast zwei Jahrzehnte;;
Widerøe;Widerøe;WIF-2018-NEWDESIGN;Silver Green New Widerøe;Standard;;2018;–;E190-E2|E195-E2|Dash 8;LN-WEA;Neues Corporate Design 2018 für Embraer Jets silbergrauer Rumpf grünes Heck mit modernem W Logo vereinheitlichtes Branding für Jet und Turbopropflotte;;
Widerøe;Widerøe;WIF-2020-STARALLIANCE;Green Alliance Sticker;Abwandlung;WIF-2018-NEWDESIGN;2020;–;E190-E2;LN-WEB;Green Alliance Sticker anlässlich einer Nachhaltigkeitsinitiative und regionaler Kooperationen nicht zu verwechseln mit Star Alliance;;
Widerøe;Widerøe;WIF-2022-FJORDRETRO;Fjord Retro;Special;WIF-2018-NEWDESIGN;2022;–;Dash 8;LN-WIF;Retrodesign zur Feier 90 Jahre Widerøe grünes Band im Stil der 1950er Jahre Schriftzug Widerøe 1934 2024 auf dem Rumpf;;
Norwegian Air Shuttle;Norwegian Air Shuttle;NAX-1993-ORIGINAL;Original Striped Tail;Standard;;1993;2002;F50|B737;LN-BRP;Erstes Norwegian Design blau weiß rote Streifen am Leitwerk kleiner Titel Norwegian frühe Phase als Regionalcarrier;;
Norwegian Air Shuttle;Norwegian Air Shuttle;NAX-2002-PORTRAIT;Portrait Tail;Standard;;2002;2015;B737;LN-NOL;Bekanntes Tail Heroes Design mit Porträts skandinavischer Persönlichkeiten roter Bug weißer Rumpf blaue Winglets ikonisches Erkennungszeichen;;
Norwegian Air Shuttle;Norwegian UK;NAX-2016-UK;Norwegian UK Rednose;Standard;;2016;2020;B787;G-CKOG;Variante der Portrait Livery für Norwegian UK britische Registrierungen lokale Porträts identisches Farbschema kennzeichnete UK Tochter;;
Norwegian Air Shuttle;Norwegian Air Argentina;NAX-2019-ARGENTINA;Norwegian Air Argentina;Standard;;2018;2020;B737;LV-HQH;Argentinische Tochtergesellschaft leicht angepasster Titel und lokale Porträts lateinamerikanischer Persönlichkeiten Betrieb bis 2020 eingestellt;;
Norwegian Air Shuttle;Norwegian Air Shuttle;NAX-2021-NEWDESIGN;Simplified Rednose;Standard;;2021;–;B737|B737 MAX;LN-NIH;Aktuelles Design nach Restrukturierung vereinfachtes rotes Bugsegment graues Leitwerk modernisierter Norwegian com Titel keine individuellen Porträts;;
Norwegian Air Shuttle;Norwegian Air Shuttle;NAX-2015-6000THBOEING;6000th Boeing 737;Special;NAX-2002-PORTRAIT;2013;2015;B737;LN-NOL;Sonderlackierung 6000th Boeing 737 Boeing Jubiläumsdesign mit speziellem Tailportrait seltene Norwegian Sonderedition;;
Norwegian Air Shuttle;Norwegian Air Shuttle;NAX-2022-RETRO20;20 Years Anniversary Retro;Abwandlung;NAX-2021-NEWDESIGN;2022;2023;B737;LN-NGV;Retro Sticker 20 Years Norwegian am Bug Teil der Jubiläumskampagne zum 20 jährigen Bestehen;;
Norwegian Air Shuttle;Norwegian Air Shuttle;NAX-2024-GREENFUTURE;Green Future;Abwandlung;NAX-2021-NEWDESIGN;2024;–;B737|B737 MAX;LN-NIA;Nachhaltigkeitskampagne Green Future grüner Schriftzug und Blatt Grafik Fokus auf CO2 Reduktion;;
Pan American World Airways;Pan American World Airways;PAA-1931-CLIPPER;Clipper Flying Boats;Standard;;1931;1947;Sikorsky S-40|S-42|Martin M-130|Boeing 314;;Clipper Ära mit Flying Boats Globe Emblem silber weißes Schema mit blauen Akzenten prägend für frühe Interkontinentalflüge;;
Pan American World Airways;Pan American World Airways;PAA-1947-CLASSICCHEAT;Postwar Silver Cheatline;Standard;;1947;1958;DC-4|DC-6|B377|DC-7;;Blankmetall mit blauer Cheatline und Globe am Leitwerk repräsentiert die Nachkriegs Expansionszeit;;
Pan American World Airways;Pan American World Airways;PAA-1958-JETCHEAT;Jet Era Cheatline;Standard;;1958;1967;B707|B720|DC-8;;Frühe Jet Livery mit blauer Fensterband Cheatline und Globe Tail Übergang in das Jetzeitalter;;
Pan American World Airways;Pan American World Airways;PAA-1967-HELVETICA;Blue Globe Helvetica;Standard;;1967;1976;B707|B720|B727|B747;;Helvetica Wortmarke schlanke Cheatline Globe Leitwerk klares 60er 70er Corporate Design;;
Pan American World Airways;Pan American World Airways;PAA-1976-BILLBOARD;Billboard PAN AM;Standard;;1976;1991;B727|A310|B747|B747SP|DC-10;;Weißer Rumpf mit großem PAN AM Billboard Titel und blauem Globe Tail prägendes Bild bis zum Ende der Airline;;
Pan American World Airways;Pan American World Airways;PAA-1986-SHUTTLE;Pan Am Shuttle;Special;PAA-1976-BILLBOARD;1986;1991;B727;;Pan Am Shuttle New York Shuttle Titel basierend auf Billboard CI mit spezifischen Streckenhinweisen;;
Pan American World Airways;Pan American World Airways;PAA-1984-CARGO;Pan Am Cargo;Special;PAA-1976-BILLBOARD;1984;1991;B707|B747;;PAN AM CARGO Titel und Globe Tail klare Differenzierung der Frachtflotte innerhalb der Marke;;
KLM Royal Dutch Airlines;KLM Royal Dutch Airlines;KLM-1958-JETCHEAT;Jet Era Cheatline;Standard;;1958;1967;B707|B720|DC-8;;Jet Ära mit blauer Cheatline und Globe Leitwerk frühe Nachkriegs CI von KLM;;
KLM Royal Dutch Airlines;KLM Royal Dutch Airlines;KLM-1967-HELVETICA;Blue Globe Helvetica;Standard;;1967;1971;B707|B720|B727|DC-8;;Helvetica Titel schlanke Cheatline mit Globe klassisches Spät 60er Design;;
KLM Royal Dutch Airlines;KLM Royal Dutch Airlines;KLM-1971-BLUETOP;Blue Top Classic;Standard;;1971;2002;B747|B737|B727|DC-10|MD-11;;Hellblauer Oberrumpf weiße Trennlinie dunklere Fensterband Cheatline prägte 70er bis 90er;;
KLM Royal Dutch Airlines;KLM Royal Dutch Airlines;KLM-2002-REFRESH;Blue Top Refresh;Standard;;2002;2014;A330|B737|B747|B777|MD-11;;Update 2002 schmalere Cheatline mehr Blaufläche zentraleres Logo modernisierte Typografie;;
KLM Royal Dutch Airlines;KLM Royal Dutch Airlines;KLM-2014-SWOOP;Swoop Cheatline;Standard;;2014;2024;A330|B737|B777|B787|E190;;Gebogene Swoop Cheatline um die Nase gefällige Modernisierung der KLM Identität;;
KLM Royal Dutch Airlines;KLM Royal Dutch Airlines;KLM-2024-NEO;A321neo New Livery;Standard;;2024;–;A321neo;;A321neo Variante mit vollständig blauem Bugbereich leichte Anpassungen an Proportionen und Logos;;
KLM Royal Dutch Airlines;KLM Royal Dutch Airlines;KLM-1995-ASIA;KLM Asia;Special;KLM-1971-BLUETOP;1995;–;B747|B777|A330;;Version ohne Krone im Titel für Taiwan Verkehr regulatorische Anpassung ansonsten KLM Corporate Design;;
KLM Royal Dutch Airlines;KLM Royal Dutch Airlines;KLM-2009-SKYTEAM;SkyTeam Alliance;Special;KLM-2002-REFRESH;2009;–;B737|A330|B777|B787;;SkyTeam Livery in Silber Grau mit SkyTeam Logo und reduziertem KLM Titel eingesetzt auf mehreren Mustern;;
KLM Royal Dutch Airlines;KLM Royal Dutch Airlines;KLM-2016-ORANGEPRIDE;Orange Pride;Special;KLM-2014-SWOOP;2016;–;B777;PH-BVA;Vorderer Rumpf in Orange mit Verlauf in KLM Blau Sichtbarkeit bei Sportereignissen und Landesfeiern;;
KLM Royal Dutch Airlines;KLM Royal Dutch Airlines;KLM-2023-ORANGEPRIDE2;Orange Pride 2.0;Abwandlung;KLM-2016-ORANGEPRIDE;2023;–;B777;PH-BVA;Überarbeitete Orange Pride Version mit verstärktem Orange und Flaggenband dezente Logo Updates;;
KLM Royal Dutch Airlines;KLM Royal Dutch Airlines;KLM-2019-100YEARS;100 Years;Abwandlung;KLM-2014-SWOOP;2019;2020;B787|B737|A330|B777;PH-BKA;Jubiläumslogo 100 am Rumpf im Rahmen der Hundertjahrfeier bei Mainline Flotte und Cityhopper Pendants;;
KLM Royal Dutch Airlines;KLM Cityhopper;KLM-1991-CH-CLASSIC;Cityhopper Classic;Special;KLM-1971-BLUETOP;1991;2002;F50|F70|F100;;Erstes eigenständiges Cityhopper Design weiß blau mit KLM Krone und Cityhopper Schriftzug Regionalflotte;;
KLM Royal Dutch Airlines;KLM Cityhopper;KLM-2002-CH-BLUETOP;Cityhopper Blue Top;Special;KLM-2002-REFRESH;2002;2010;F70|F100|E190;;Angepasstes KLM Blue Top Design für Cityhopper Branding mehr Blau und größerer Titel unter den Fenstern;;
KLM Royal Dutch Airlines;KLM Cityhopper;KLM-2010-CH-REFRESH;Cityhopper Refresh;Special;KLM-2002-REFRESH;2010;2018;E175|E190;;Mehr Weiß großer KLM Cityhopper Titel unter den Fenstern aktualisierte Logos harmonisiert mit Mainline;;
KLM Royal Dutch Airlines;KLM Cityhopper;KLM-2018-CH-EJET;Cityhopper E Jet E2 Launch;Special;KLM-2014-SWOOP;2018;–;E190-E2|E195-E2;;Aktuelles Cityhopper Design mit Swoop Cheatline und E2 spezifischen Details modernisiertes Hecklogo;;
KLM Royal Dutch Airlines;KLM Cityhopper;KLM-2019-CH-100YEARS;Cityhopper 100 Years;Abwandlung;KLM-2018-CH-EJET;2019;2020;E190-E2|E195-E2;;Jubiläumslogo 100 auch bei Cityhopper E2 Flotte durchgängige Feier der Marke über alle Betreiber hinweg;;